State,County,POPESTIMATE2020,POPESTIMATE2021,DEATHS2020,DEATHS2021
Georgia,Burke County,24621,24310,75,313
Georgia,Butts County,25542,25781,81,348
Georgia,Calhoun County,5560,5509,32,44
Georgia,Camden County,54911,55664,102,464
Georgia,Candler County,11001,11037,48,170
Georgia,Carroll County,119463,121968,309,1318
Georgia,Catoosa County,67976,68397,195,830
Georgia,Charlton County,12530,12766,37,147
Georgia,Chatham County,294904,296329,733,3039
Georgia,Chattahoochee County,9482,9048,4,43
Georgia,Chattooga County,24921,24932,98,350
Georgia,Cherokee County,268043,274615,475,2132
Georgia,Clarke County,128489,128711,212,914
Georgia,Clay County,2835,2882,14,35
Georgia,Clayton County,297417,297100,640,2227
Georgia,Clinch County,6723,6725,31,92
Georgia,Cobb County,766209,766802,1265,5819
Georgia,Coffee County,43047,43386,139,514
Georgia,Colquitt County,45866,45812,154,578
Georgia,Columbia County,156773,159639,310,1296
Georgia,Cook County,17232,17225,56,240
Georgia,Coweta County,146653,149956,333,1343
Georgia,Crawford County,12100,12153,45,161
Georgia,Crisp County,20042,19879,91,321
Georgia,Dade County,16224,16326,67,237
Georgia,Dawson County,27047,28497,58,280
Georgia,Decatur County,29338,29038,115,429
Georgia,DeKalb County,763831,757718,1466,6134
Georgia,Dodge County,19849,19759,82,317
Georgia,Dooly County,11142,10885,49,210
Georgia,Dougherty County,85366,84844,314,1190
Georgia,Douglas County,144497,145814,335,1269
Georgia,Early County,10813,10619,37,168
Georgia,Echols County,3696,3699,18,26
Georgia,Effingham County,65150,66741,115,589
Georgia,Elbert County,19627,19579,93,337
Georgia,Emanuel County,22730,22716,82,352
Georgia,Evans County,10757,10672,40,152
Georgia,Fannin County,25396,25817,121,400
Georgia,Fayette County,119441,120574,269,1082
Georgia,Floyd County,98593,98771,320,1349
Georgia,Forsyth County,252786,260206,358,1716
Georgia,Franklin County,23429,23785,108,369
Georgia,Fulton County,1069023,1065334,1939,9072
Georgia,Gilmer County,31429,32026,105,451
Georgia,Glascock County,2883,2919,14,36
Georgia,Glynn County,84470,84739,280,1134
Georgia,Gordon County,57696,58237,170,684
Georgia,Grady County,26221,25918,52,322
Georgia,Greene County,19025,19536,53,295
Georgia,Gwinnett County,957801,964546,1439,5835
Georgia,Habersham County,46105,46774,172,551
Georgia,Hall County,203589,207369,522,2022
Georgia,Hancock County,8722,8630,51,167
Georgia,Haralson County,29985,30572,143,438
Georgia,Harris County,34927,35626,56,406
Georgia,Hart County,25866,26409,79,402
Georgia,Heard County,11465,11565,32,136
Georgia,Henry County,241818,245235,459,2081
Georgia,Houston County,164242,166829,402,1593
Georgia,Irwin County,9643,9618,34,128
Georgia,Jackson County,76712,80286,180,796
Georgia,Jasper County,14638,15278,50,185
Georgia,Jeff Davis County,14777,14872,61,196
Georgia,Jefferson County,15658,15524,82,260
Georgia,Jenkins County,8662,8639,25,130
Georgia,Johnson County,9168,9160,37,137
Georgia,Jones County,28356,28400,91,328
Georgia,Lamar County,18550,19080,62,267
Georgia,Lanier County,9916,9907,21,137
Georgia,Laurens County,49497,49547,196,688
Georgia,Lee County,33179,33411,99,301
Georgia,Liberty County,65220,65711,136,424
Georgia,Lincoln County,7704,7749,21,116
Georgia,Long County,16287,17152,31,140
Georgia,Lowndes County,118316,119276,303,1154
Georgia,Lumpkin County,33596,34278,91,345
Georgia,McDuffie County,21587,21633,70,297
Georgia,McIntosh County,10982,11123,35,192
Georgia,Macon County,12021,12004,46,159
Georgia,Madison County,30263,30885,75,356
Georgia,Marion County,7520,7440,22,103
Georgia,Meriwether County,20619,20793,80,312
Georgia,Miller County,5987,5919,20,89
